accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	cdsCoverage	cdsCoverage_dict	6K	C	E1	E2	E3	nsP1	nsP2	nsP3	nsP4
LC259086	LC259086.1	CHIKV/Hu/Indonesia/NIID108/2013	2013-07-01	Asia	Indonesia			Homo sapiens	2017-12-22		Nakayama et al.	Nakayama,E.,Tajima,S.,Kotaki,A.,Tomohiko,T.,Takasaki,T.	Virology I; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640	III-Asian	0.0	good	32563.0	1.0	11818.0	0.9993235244376796	6K:1,C:1,E1:1,E2:1,E3:1,nsP1:1,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 1.0, 'E2': 1.0, 'E3': 1.0, 'nsP1': 1.0, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MN428509	MN428509.1	CB17	2018-03-13	South America	Brazil	Cuiaba	Mato Grosso	Homo sapiens	2020-09-21		Giovanetti et al.	Giovanetti,M.,Fonseca,V.S.,Lourenco,J.,Xavier,J.,Claro,I.M.,Graf,T.,Nascimento,V.A.,Adelino,T.,Iani,F.C.M.,Sabino,E.C.,Naveca,F.G.,Salles,F.S.,Nogueira,L.,Fabri,A.,Oliveira,E.C.,Demarchi,L.H.F.,Silva,V.L.,Filippis,A.M.B.,Abreu,A.L.,Oliveira,W.K.,Croda,J.,Albuquerque,C.F.C.,Loman,N.,Faria,N.R.,de Oliveira,T.,Alcantara,L.C.J.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	II-ECSA	34.5744	mediocre	30713.0	296.0	11306.0	0.839083375613056	6K:1,C:1,E1:0.9636363636363636,E2:0.8912529550827423,E3:1,nsP1:0.8635514018691589,nsP2:0.9573934837092731,nsP3:0.9113207547169812,nsP4:0.6323529411764706	{'6K': 1.0, 'C': 1.0, 'E1': 0.9636363636363636, 'E2': 0.8912529550827423, 'E3': 1.0, 'nsP1': 0.8635514018691589, 'nsP2': 0.9573934837092731, 'nsP3': 0.9113207547169812, 'nsP4': 0.6323529411764706}	1.0	1.0	0.9636363636363636	0.8912529550827423	1.0	0.8635514018691589	0.9573934837092732	0.9113207547169812	0.6323529411764706
MT349058	MT349058.1	BK1338	2019-09-14	Asia	Thailand			Homo sapiens	2020-12-31		Chansaenroj et al.	Chansaenroj,J.,Khongwichit,S.,Thongmee,T.,Benjamanukul,S.,Chirathaworn,C.,Poovorawan,Y.	Faculty of Medical, Chulalongkorn University, Center of Excellence in Clinical Virology	II-ECSA	0.0	good	2549.0	10244.0	11126.0	0.0746659901911043	E1:0.6659090909090909	{'E1': 0.6659090909090909}			0.6659090909090909						
MT636920	MT636920.1	DRC_2019_MAT005_AALBM	2019-03-21	Africa	Democratic Republic of the Congo			Aedes albopictus	2020-08-24		Selhorst et al.	Selhorst,P.,Makiala-Mandanda,S.,Smet,B.,Marien,J.,Anthony,C.,Binene-Mbuka,G.,Weggheleire,A.,Ilombe,G.,Kinganda-Lusamaki,E.,Pukuta-Simbu,E.,Lubula,L.,Mbala-Kingebeni,P.,Nkuba-Ndaye,A.,Vogt,F.,Watsenga,F.,Bortel,W.V.,Vanlerberghe,V.,Arien,K.K.,Ahuka-Mundeke,S.	Institute of Tropical Medicine, Biomedical Sciences	II-ECSA	0.0	good	33253.0	58.0	11684.0	0.9831726703872824	6K:1,C:1,E1:1,E2:1,E3:1,nsP1:1,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 1.0, 'E2': 1.0, 'E3': 1.0, 'nsP1': 1.0, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MW271626	MW271626.1	BKK15541	2019-01-11	Asia	Thailand	Bangkok		Culex quinquefasciatus	2021-02-09		Phumee et al.	Phumee,A.,Intayot,P.,Sor-Suwan,S.,Jittmittraphap,A.,Siriyasatien,P.	School of Allied Health Sciences, Walailak University, Department of Medical Technology	II-ECSA	0.0	good	1541.0	10265.0	10803.0	0.0455775410113309	E1:0.4068181818181818	{'E1': 0.4068181818181818}			0.4068181818181818						
MZ726834	MZ726834.1	41_Pak_2017	2017-08-06	Asia	Pakistan			Homo sapiens	2022-10-24		Badar et al.	Badar,N.	National Institute of Health, Virology PHLD									{}									
MZ726854	MZ726854.1	40_Pak_2017	2017-09-26	Asia	Pakistan			Homo sapiens	2022-10-24		Badar et al.	Badar,N.	National Institute of Health, Virology PHLD	II-ECSA	0.0	good	2977.0	8761.0	9811.0	0.0888719769998308	6K:0,E2:0.8274231678486997	{'6K': 0.0, 'E2': 0.8274231678486997}	0.0			0.8274231678486997					
OP485448	OP485448.1	TO-UFT-4345	2022-06-21	South America	Brazil	Tocantins State (Palmas)		Homo sapiens	2022-11-02		Souza et al.	Souza,U.J.B.,Santos,R.N.D.,Giovanetti,M.,Alcantara,L.C.J.,Galvao,J.D.,Cardoso,F.D.P.,Brito,F.C.S.,Franco,A.C.,Roehe,P.M.,Ribeiro,B.M.,Spilki,F.R.,Campos,F.S.,de Souza,U.J.B.,dos Santos,R.N.	Federal University of Tocantins, Campus of Gurupi, Bioinformatics and Biotechnology Laboratory (Labinftec)	II-ECSA	1.4884	good	30066.0	596.0	11263.0	0.8494841873837308	6K:1,C:0.8659003831417624,E1:0.9613636363636363,E2:0.9574468085106383,E3:0.796875,nsP1:0.6149532710280374,nsP2:0.9573934837092731,nsP3:1,nsP4:0.9068627450980392	{'6K': 1.0, 'C': 0.8659003831417624, 'E1': 0.9613636363636363, 'E2': 0.9574468085106383, 'E3': 0.796875, 'nsP1': 0.6149532710280374, 'nsP2': 0.9573934837092731, 'nsP3': 1.0, 'nsP4': 0.9068627450980392}	1.0	0.8659003831417624	0.9613636363636364	0.9574468085106383	0.796875	0.6149532710280374	0.9573934837092732	1.0	0.9068627450980392
OP485450	OP485450.1	TO-UFT-3045	2022-06-24	South America	Brazil	Tocantins State (Palmas)		Homo sapiens	2022-11-02		Souza et al.	Souza,U.J.B.,Santos,R.N.D.,Giovanetti,M.,Alcantara,L.C.J.,Galvao,J.D.,Cardoso,F.D.P.,Brito,F.C.S.,Franco,A.C.,Roehe,P.M.,Ribeiro,B.M.,Spilki,F.R.,Campos,F.S.,de Souza,U.J.B.,dos Santos,R.N.	Federal University of Tocantins, Campus of Gurupi, Bioinformatics and Biotechnology Laboratory (Labinftec)	II-ECSA	3.8025	good	29975.0	617.0	11266.0	0.8417892778623373	6K:1,C:0.789272030651341,E1:0.9636363636363636,E2:0.8747044917257684,E3:0.796875,nsP1:0.6635514018691588,nsP2:0.9511278195488722,nsP3:1,nsP4:0.9133986928104575	{'6K': 1.0, 'C': 0.789272030651341, 'E1': 0.9636363636363636, 'E2': 0.8747044917257684, 'E3': 0.796875, 'nsP1': 0.6635514018691588, 'nsP2': 0.9511278195488722, 'nsP3': 1.0, 'nsP4': 0.9133986928104575}	1.0	0.789272030651341	0.9636363636363636	0.8747044917257684	0.796875	0.6635514018691588	0.9511278195488722	1.0	0.9133986928104576
OP964984	OP964984.1	P78_2022-03-08_CE_JuazeiroDoNorte	2022-03-08	South America	Brazil			Homo sapiens	2023-04-17		de Souza et al.	de Souza,W.M.,de Lima,S.T.S.,Simoes Mello,L.M.,Candido,D.S.,Buss,L.,Whittaker,C.,Claro,I.M.,Chandradeva,N.,Granja,F.,de Jesus,R.,Lemos,P.S.,Toledo-Teixeira,D.A.,Barbosa,P.P.,Firmino,A.C.L.,Amorim,M.R.,Duarte,L.M.F.,Pessoa,I.B. Jr.,Forato,J.,Vasconcelos,I.L.,Maximo,A.C.B.M.,Araujo,E.L.L.,Perdigao Mello,L.,Sabino,E.C.,Proenca-Modena,J.L.,Faria,N.R.,Weaver,S.C.,de Souza,W.,de Lima,S.,Simoes Mello,L.,Candido,D.,Claro,I.,Lemos,P.,Toledo-Teixeira,D.,Barbosa,P.,Firmino,A.C.,Amorim,M.,Duarte,L.,Pessoa,I.,Vasconcelos,I.,Maximo,A.C.,Araujo,E.,Sabino,E.,Faria,N.,Weaver,S.	University of Texas Medical Branch, World Reference Center for Emerging Viruses and Arboviruses and Department of Microbiology and Immunology	II-ECSA	0.0	good	31441.0	77.0	11022.0	0.9255031286994756	6K:1,C:1,E1:0.7795454545454545,E2:1,E3:1,nsP1:1,nsP2:1,nsP3:0.9981132075471698,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 0.7795454545454545, 'E2': 1.0, 'E3': 1.0, 'nsP1': 1.0, 'nsP2': 1.0, 'nsP3': 0.9981132075471698, 'nsP4': 1.0}	1.0	1.0	0.7795454545454545	1.0	1.0	1.0	1.0	0.9981132075471698	1.0
