accession	accession_version	strain	isolate	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	authors	full_authors	institution	url	genotype	MuV_genotype	taxon_id	MuV_genotype_nextclade_sh	MuV_genotype_nextclade_genome
MN926780	MN926780.1	MuVs/British Columbia.CAN/21.17/3[G]	MuVs/British Columbia.CAN/21.17/3[G]	2017-05-25	North America	Canada	British Columbia		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN926780	Mumps virus genotype G	G	1384672	G	G
MN927015	MN927015.1	MuVs/Manitoba.CAN/29.17/5[G]	MuVs/Manitoba.CAN/29.17/5[G]	2017-07-17	North America	Canada	Manitoba		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN927015	Mumps virus genotype G	G	1384672	G	G
MT880123	MT880123.1	MuVs/Hawaii.USA/44.17/12	MuVs/Hawaii.USA/44.17/12	2017-11-03	North America	USA	Hawaii		15372	Homo sapiens		2020-11-27	2020-11-27	Stinnett et al.	Stinnett,R.C.,Beck,A.S.,Lopareva,E.N.,McNall,R.J.,Latner,D.R.,Hickman,C.J.,Rota,P.A.,Bankamp,B.	Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch	https://www.ncbi.nlm.nih.gov/nuccore/MT880123	Mumps virus genotype G	G	1384672	G	G
MT906990	MT906990.1	MuVs/Segovia.ESP/34.19/[G]	MuVs/Segovia.ESP/34.19/[G]	2019-08-20	Europe	Spain	Segovia		316	Homo sapiens		2021-10-06	2021-10-06	Castellanos et al.	Castellanos,A.,Gavilan,A.M.,Echevarria,J.E.,Fernandez-Garcia,A.	National Centre for Microbiology, Virology	https://www.ncbi.nlm.nih.gov/nuccore/MT906990	Mumps virus genotype G	G	1384672	G	G
MZ913440	MZ913440.1	MuVs/Missouri.USA/7.20[G]	MuVs/Missouri.USA/7.20[G]	2020-02-11	North America	USA	Missouri		316	Homo sapiens		2021-09-25	2021-09-25	Wharton et al.	Wharton,A.K.,Hickman,C.,Rota,P.	Wisconsin State Laboratory of Hygiene and Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/MZ913440	Mumps virus genotype G	G	1384672	G	G
OP466187	OP466187.1	MuVs/Alberta.CAN/47.07/14[G]	MuVs/Alberta.CAN/47.07/14[G]	2007-11-19	North America	Canada	Alberta		316	Homo sapiens		2023-04-26	2023-05-04	Hiebert et al.	Hiebert,J.,Zubach,V.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/OP466187	Mumps virus genotype G	G	1384672	G	G
OR727660	OR727660.1	MuVs/Madrid.ESP/9.20/7[G]	MuVs/Madrid.ESP/9.20/7[G]	2020-02-24	Europe	Spain	Madrid		316	Homo sapiens		2024-06-06	2024-06-06	Peran-Ramos et al.	Peran-Ramos,P.,Gavilan,A.M.,Castellanos,A.,Echevarria,J.E.,Fernandez-Garcia,A.	National Centre for Microbiology, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OR727660	Mumps virus genotype G	G	1384672	G	G
PX738941	PX738941.1	MuVs/Zuid-Holland.NLD/11.24[G]	MuVs/Zuid-Holland.NLD/11.24[G]	2024-03-13	Europe	Netherlands	South Holland		428	Homo sapiens		2026-01-05	2026-01-05	van de Nes-Reijnen et al.	van de Nes-Reijnen,L.,Bodewes,R.	National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)	https://www.ncbi.nlm.nih.gov/nuccore/PX738941	Mumps virus genotype G	G	1384672		G
PX738942	PX738942.1	MuVs/Zuid-Holland.NLD/12.24[G]	MuVs/Zuid-Holland.NLD/12.24[G]	2024-03-19	Europe	Netherlands	South Holland		428	Homo sapiens		2026-01-05	2026-01-05	van de Nes-Reijnen et al.	van de Nes-Reijnen,L.,Bodewes,R.	National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)	https://www.ncbi.nlm.nih.gov/nuccore/PX738942	Mumps virus genotype G	G	1384672		G
MF965305	MF965305.1	MuVs/Massachusetts.USA/14.16/[G]	MuVs/Massachusetts.USA/14.16/[G]	2016-04-08	North America	USA	Massachusetts		15249	Homo sapiens		2017-11-01	2018-02-07	Byrne et al.	Byrne,E.H.,Chak,B.,Grad,Y.H.,Hennigan,S.,Krasilnikova,L.A.,Matranga,C.B.,Metsky,H.C.,Park,D.J.,Piantadosi,A.,Sabeti,P.C.,Schaffner,S.F.,Siddle,K.J.,Smole,S.,Wohl,S.,Yozwiak,N.L.	Broad Institute, Infectious Disease Initiative	https://www.ncbi.nlm.nih.gov/nuccore/MF965305	Mumps virus genotype G	G	1384672	G	G
MK955289	MK955289.1	MuVs/California.USA/21.18/[G]	MuVs/California.USA/21.18/[G]	2018-05-21	North America	USA	California		316	Homo sapiens		2019-06-09	2019-06-09	Hickman et al.	Hickman,C.J.,Rota,P.A.,Wharton,A.K.	California Department of Public Health VRDL and Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/MK955289	Mumps virus genotype G	G	1384672	G	G
MN386184	MN386184.1	MuVs/Arizona.USA/14.19/3[G]	MuVs/Arizona.USA/14.19/3[G]	2019-04-01	North America	USA	Arizona		316	Homo sapiens		2019-10-15	2019-10-15	Rota et al.	Rota,P.A.,Hickman,C.J.,McNall,R.J.,Wharton,A.K.	California Department of Public Health VRDL andCenters for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/MN386184	Mumps virus genotype G	G	1384672	G	G
MN436895	MN436895.1	MuVs/Madrid.ESP/27.13/2[G]	MuVs/Madrid.ESP/27.13/2[G]	2013-07-01	Europe	Spain	Madrid		316	Homo sapiens		2020-10-12	2020-10-12	Castellanos et al.	Castellanos,A.,Gavilan,A.M.,Echevarria,J.E.,Fernandez-Garcia,A.	National Centre for Microbiology, Virology	https://www.ncbi.nlm.nih.gov/nuccore/MN436895	Mumps virus genotype G	G	1384672	G	G
MN593154	MN593154.1	MuVs/NewYork.USA/22.19/[G]	MuVs/NewYork.USA/22.19/[G]	2019-05-29	North America	USA	New York		316	Homo sapiens		2019-11-13	2019-11-13	Wharton et al.	Wharton,A.K.,Rota,P.A.,Hickman,C.J.	Wadsworth Center NYS Department of Health and Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/MN593154	Mumps virus genotype G	G	1384672	G	G
MN639574	MN639574.1	MuVs/Illinois.USA/34.19/[G]	MuVs/Illinois.USA/34.19/[G]	2019-08-20	North America	USA	Illinois		316	Homo sapiens		2019-11-13	2019-11-13	Wharton et al.	Wharton,A.K.,Hickman,C.J.,Rota,P.A.	Minnesota Department of Health and Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/MN639574	Mumps virus genotype G	G	1384672	G	G
MN910092	MN910092.1	MuVs/Ontario.CAN/20.15/3[G]	MuVs/Ontario.CAN/20.15/3[G]	2015-05-26	North America	Canada	Ontario		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN910092	Mumps virus genotype G	G	1384672	G	G
MN911518	MN911518.1	MuVi/Quebec.CAN/11.10/4[G]	MuVi/Quebec.CAN/11.10/4[G]	2010-03-09	North America	Canada	Quebec		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN911518	Mumps virus genotype G	G	1384672	G	G
MN919664	MN919664.1	MuVs/Manitoba.CAN/52.16/5[G]	MuVs/Manitoba.CAN/52.16/5[G]	2016-12-28	North America	Canada	Manitoba		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN919664	Mumps virus genotype G	G	1384672	G	G
MN919847	MN919847.1	MuVs/Ontario.CAN/10.17/6[G]	MuVs/Ontario.CAN/10.17/6[G]	2017-03-08	North America	Canada	Ontario		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN919847	Mumps virus genotype G	G	1384672	G	G
MN919901	MN919901.1	MuVs/Manitoba.CAN/11.17/18[G]	MuVs/Manitoba.CAN/11.17/18[G]	2017-03-16	North America	Canada	Manitoba		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN919901	Mumps virus genotype G	G	1384672	G	G
MN919959	MN919959.1	MuVs/Ontario.CAN/13.17/7[G]	MuVs/Ontario.CAN/13.17/7[G]	2017-03-28	North America	Canada	Ontario		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN919959	Mumps virus genotype G	G	1384672	G	G
MN926188	MN926188.1	MuVs/Manitoba.CAN/33.17/14[G]	MuVs/Manitoba.CAN/33.17/14[G]	2017-08-14	North America	Canada	Manitoba		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN926188	Mumps virus genotype G	G	1384672	G	G
MN926729	MN926729.1	MuVs/Manitoba.CAN/20.17/7[G]	MuVs/Manitoba.CAN/20.17/7[G]	2017-05-17	North America	Canada	Manitoba		316	Homo sapiens		2020-01-19	2020-01-19	Hiebert et al.	Hiebert,J.,Severini,A.	National Microbiology Laboratory, Public Health Agency of Canada, Viral Exanthemata & STDs	https://www.ncbi.nlm.nih.gov/nuccore/MN926729	Mumps virus genotype G	G	1384672	G	G
KU756824	KU756824.1	MuVs/DenHaag.NLD/24.15[G]	MuVs/DenHaag.NLD/24.15[G]	2015-06-17	Europe	Netherlands	DenHaag		1617	Homo sapiens		2016-06-01	2016-06-01	Gouma et al.	Gouma,S.,Cremer,J.,Parkkali,S.,Veldhuijzen,I.,van Binnendijk,R.,Koopmans,M.	National Institute for Public Health and the Environment (RIVM), Centre for Infectious Disease Research, Diagnostics and Screening (IDS)	https://www.ncbi.nlm.nih.gov/nuccore/KU756824	Mumps virus genotype G	G	1384672		G
KX057982	KX057982.1	MuVs/NewHampshire.USA/7.16[G]	MuVs/NewHampshire.USA/7.16[G]	2016-02-23	North America	USA	New Hampshire		316			2016-04-26	2016-04-26	Anderson et al.	Anderson,R.D.,Hickman,C.,Rota,P.	Centers for Disease Control and Prevention, Measles, Mumps, Rubella and Herpesviruses Laboratory Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KX057982	Mumps virus genotype G	G	1384672	G	G
KY013272	KY013272.1	MuVs/NewYork.USA/30.16/7[G]	MuVs/NewYork.USA/30.16/7[G]	2016-07-30	North America	USA	New York		316	Homo sapiens		2016-12-26	2016-12-26	McNall et al.	McNall,R.J.,Hickman,C.,Rota,P.	Wadsworth Center NYS Department of Health and Centers for Disease Control and Prevention, Measles, Mumps, Rubella and Herpesviruses Laboratory Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY013272	Mumps virus genotype G	G	1384672	G	G
KY322471	KY322471.1	MuVs/NewYork.USA/46.16/2[G]	MuVs/NewYork.USA/46.16/2[G]	2016-11-17	North America	USA	New York		316	Homo sapiens		2016-12-26	2016-12-26	McNall et al.	McNall,R.J.,Hickman,C.,Rota,P.	Wadsworth Center NYS Department of Health and Centers for Disease Control and Prevention, Measles, Mumps, Rubella and Herpesviruses Laboratory Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY322471	Mumps virus genotype G	G	1384672	G	G
KY921670	KY921670.1	MuVs/Kansas.USA/11.17[G]	MuVs/Kansas.USA/11.17[G]	2017-03-13	North America	USA	Kansas		316	Homo sapiens		2017-04-19	2017-04-19	Wharton et al.	Wharton,A.K.,Hickman,C.,Rota,P.	Centers for Disease Control and Prevention, Measles, Mumps, Rubella and Herpesviruses Laboratory Branch, Division of Viral Diseases, National Center for Immunization and Respiratory Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY921670	Mumps virus genotype G	G	1384672	G	G
MF280987	MF280987.1	MuVs/Taipei.TWN/40.15[G]	MuVs/Taipei.TWN/40.15[G]	2015-09-30	Asia	Taiwan	Taiwan	Taipei	1617	Homo sapiens		2017-06-17	2017-06-17	Cheng et al.	Cheng,W.-Y.,Liu,M.-T.	Centers for Disease Control, Ministry of Health and Welfare, Taiwan, R.O.C., Center for Research, Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/MF280987	Mumps virus genotype G	G	1384672		G
AB904572	AB904572.1	MuVi/Kobe.JPN/100053.10	MuVi/Kobe.JPN/100053.10	2010-04-26	Asia	Japan	Hyogo	Kobe City	316	Homo sapiens		2014-07-02	2020-12-19	Akiyoshi et al.	Akiyoshi,K.,Suga,T.,Mori,A.	Department of Infectious diseases; 4-6 Minatojimanakmachi, Kobe, Hyogo 650-0046	https://www.ncbi.nlm.nih.gov/nuccore/AB904572	Mumps orthorubulavirus		2560602	H	H
